,major,major_stem
181,Computer and Information Science,2
182,marketing,
183,psychology,
184,Psychology,
185,No clue,
186,Human Physiology,2
187,Psychology,
188,psych,
189,psychology,
190,Psychology,
191,Business,
192,Psychology,
193,Business,
194,Psychology,
195,journalism,
196,Psychology,
197,psychology,
198,Psychology,
199,Biochemistry,2
200,family human services,
201,"General Social Science: Crime, Law, and Society",
202,human physiology (im changing),2
203,Human Physiology,2
204,Journalism,
205,public relations/journalism,
206,Psychology/biology,2
207,LINGUISTICS,
208,biochemistry,2
209,Family and Human Services,
210,psy,
211,Family and Human Services,
212,Human Physiology,2
213,Music,
214,human physiology,2
215,Psychology ,
216,Human Physiology,2
217,Philosophy,
218,cinema studies,
219,Psychology,
220,Exploring,
221,Human Physiology,2
222,Communications Disorders and Sciences,2
223,Human Phys,
224,PSY,
225,Human Physiology,2
226,Psychology,
227,FHS,
228,Psychology ,
229,Family and Human Services,
230,anthropology,
231,Human Physiology,2
232,Human Physiology,2
233,psychology,
234,Education,
235,Psychology  ,
236,Romance Languages,
237,Human Physiology ,2
238,Human Physiology,2
239,Psychology ,
240,Music Education ,
241,Biology,2
242,CIS,2
243,Business,
244,Communication Disorders and Sciences,2
245,Communication Disorders and Sciences,2
246,communication disorders,2
247,Psychology,
248,Economics,
249,Business,
250,"Psychology, Ethnic Studies",
251,Journalism ,
252,psychology,
253,human phys,
254,psych,
255,Psychology,
256,general science,
257,Pre-education,
258,Biology,2
259,Psychology ,
260,History,
261,Pyschology,
262,Sociology,
263,Advertising,
264,Public relations,
265,PPPM,
266,sociology,
267,Psychology,
268,Psychology,
269,English,
270,General Social Sciences,
271,Psychology,
272,psy,
273,psychology ,
274,"PPPM, Public policy, planning, management",
275,Computer Science,2
276,Psychology and Family Human Services ,
277,Business,
278,Psychology,
279,Psychology,
280,Psychology ,
281,Business,
282,Journalism ,
283,"Linguistics, Spanish",
284,psych???,
285,law,
286,Psychology,
287,General Music/Computer Science,2
288,biology,
289,cultural anthropology ,
290,Psychology,
291,psychology ,
292,Human Physiology,2
293,psychology,
294,Psychology,
295,Psychology,
296,Human Physiology ,2
297,economics,
298,General social science ,
299,human physiology,2
300,Psychology,
301,Business Admin,
302,Communications disorders and sciences,2
303,political science,
304,Psychology,
305,Product Design,
306,JOURNALISM,
307,Computer Science,2
308,Psychology,
309,psychology,
310,Music Technology,
311,Child Education,
312,Biology,2
313,Business,
314,Human Physiology,
315,Business,
316,Economics,
317,Communication Disorders and Sciences,2
318,Psychology,
319,psychology,
320,Biochemistry,
321,Public Relations ,
322,Public Relations,
323,Psychology ,
324,Business,
325,Journalism,
326,Business,
327,Business Administration,
328,Psychology + Biology,2
329,business,
330,Psychology,
331,Business,
332,architecture,
333,Linguistics,
334,Human Physiology,2
335,Communications,
336,Business,
337,English on a pre-law track,
338,Family and human services,
339,Political Science,
340,journalism,
341,human phys,
342,Linguistics ,
343,Music,
344,Computer Science,2
345,Journalism,
346,Computer Science,
347,Psychology with Latin American Studies and Spanish minors,
348,Computer Science,2
349,Business Administration,
350,"Biology, Art and Design",
351,Family and Human Services,
352,psychology,
353,Human Physiology,2
354,Advertising,
355,Human Physiology,2
356,Business,
357,Public Relations,
358,Journalism ,
359,Communication Disorders and Sciences ,2
360,Journalism ,
361,Advertising,
362,Psychology,
363,Psychology,
364,Psychology,
365,Human physiology ,2
366,Psychology,
367,undeclared,
368,Psychology,
369,Journalism ,
370,Business administration,
371,Psychology,
372,Communication Disorders and Sciences,2
373,undeclared,
374,general science ,
375,"Psychology, French",
376,Sociology,
377,Psychology,
378,Psychology,
379,Economics,
380,Psychology,
381,Economics,
382,communication disorders and sciences ,2
383,Psychology,
384,psychology,
385,Journalism,
386,psychology,
387,Psychology,
388,Accounting,
389,undeclared,
390,Human Physiology,2
391,psychology,
392,Psychology,
393,psychology,
394,psychology,
395,psychology,
396,FHS,
397,3PM,
398,UNDECLARED ,
399,Chemistry,2
400,Environmental Studies/ International Studies,
401,psychology,
402,Business Administration,
403,,
404,psychology,
405,Journalism,
406,CDS psychology,
407,Communication Disorders and Sciences ,2
408,psychology,
409,public relations,
410,Psychology,
411,Sociology,
412,Human Physiology,2
413,computer scieencee,2
414,Political Science,
415,Psychology,
416,business,
417,Journalism and Communications,
418,Computer Science,2
419,computer science,2
420,Human Physiology ,2
421,Architecture,
422,Education,
423,CDS,2
424,Biology,
425,Education,
426,communication disorders and sciences,2
427,Political science/general science,
428,Psychology,
429,environmental studies,
430,Education,
431,Journalism,
432,NA,
433,International Studies,
434,psychology with a minor in law,
435,Chemistry,2
436,HPHY,2
437,"Psychology, French",
438,Business Administration,
439,Human Physiology,2
440,nursing,
441,Psychology,
442,Business Administration,
443,Sociology,
444,Biology,2
445,Advertising,
446,Public Relations,
447,Business administration,
448,My intended major is psychology.,
449,Finance,
450,psychology,
451,Political Science,
452,Spanish,
453,Political Science,
454,Computer Science,2
455,Human Physiology,
456,Neuropsychology,
457,business,
458,Human Physiology,2
459,human physiology,2
460,psychology,
461,Linguistics,
462,General Science,
463,Biology,2
464,Psychology,
465,Human Physiology,2
466,Anthropology or Bioanthrobology,2
467,Cinema Studies,
468,business administration,
469,Psychology,
470,Business,
471,Advertising,
472,Currently it is biology but I was planning on switching to psychology before all this Covid-19 stuff halted that.,2
473,Psychology,
474,Advertising,
475,human physiology,2
476,Human Physiology,2
477,MEDIA STUDIES,
478,psych,
479,Economics,
480,sports journalism,
481,Advertising,
482,Political Science,
483,Psychology,
484,Child Development/Psychology,2
485,My intended major is Spacial data science and technology,2
486,Psychology and Theater,
487,psychology,
488,Journalism,
489,Economcs,
490,Psychology,
491,Biology,2
492,Business management,
493,Linguistics,
494,Ethnic Studies,
495,My intended major is Family and Human Services,
496,Human Physiology,2
497,Human Physiology,2
498,Undeclared but thinking International Studies,
499,Finance,
500,Psychology,
501,International Studies,
502,History,
503,Double major: Psychology and Economics,
504,Business and Journalism Double,
505,Human Physiology,
506,Biology,2
507,Journalism,
508,Human Physiology,2
509,"Undeclared, Psychology",
510,Sociology,
511,Music Education,
512,Business,
513,Linguistics,
514,Psychology,
515,Family and Human Services,
516,Environmental Studies,
517,biology + chemistry,2
518,Psychology,
519,Human Physiology,
520,Business,
521,Architecture,
522,Human Physiology,
523,Biology,2
524,human physiology,2
525,Human Physiology,2
526,psychology,
527,Business Administration,
528,general science,
529,Biology,2
530,Political Science,
531,general science,
532,Computer Science,2
533,Biology,2
534,Psychology,
535,FHA,
536,Interior architecture,
537,Journalism,
538,Business,
539,Journalism (AD),
540,Journalism - Public Relations,
541,biology,2
542,Advertising with a minor in french and business,
543,communication disorders and sciences,2
544,Biology,2
545,Political Science,
546,Business and Psychology,
547,Biology,2
548,Business Administration,
549,Human Physiology,
550,Journalism,
551,Business (Intended Major),
552,psychology,
553,Psychology,
554,business,
555,Computer Science,2
556,History,
557,HPHY,2
558,Journalism,
559,Political Science,
560,Psychology,
561,economics,
562,Accounting and Psychology,
563,Economic,
564,psychology,
565,psychology,
566,Biology,2
567,linguistics,
568,human physiology but going to be undeclared,2
569,Biology and Psychology (Neuroscience),2
570,Psychology,
571,Psychology,
572,Business,
573,business administration,
574,business,
575,public relations,
576,Psychology,
577,Cinema studies,
578,CDS,2
579,Biology,
580,Nutrition,
581,human physiology,2
582,Human Physiology,2
583,"Currently, it's GSS, but the above answers are related to Linguistics (the major I think I wanna pursue)",
584,Psychology,
585,HPHY,2
586,Psychology,
587,GSS,
588,Pre-business administration,
589,Psychology,
590,Human Physiology,2
591,Biology,2
592,psychology,
593,psychology,
594,Psychology,
595,business marketing,
596,FHS,
597,psychology,
598,business,
599,psychology,
600,Psychology,
601,Chemistry,2
602,Human Physiology,
603,"Psychology, Spanis, Family Human Services",
604,Psychology,
605,human physiology,2
606,communication disorders,2
607,Music?,
608,Psychology and Cinema Studies,
609,advertising,
610,English,
611,undeclared,
612,economics,
613,Linguistics,
614,History,
615,Human Phys,2
616,I have no idea what I am majoring in,
617,Business,
618,Art & Technology,
619,international business,
620,Psychology,
621,Human Physiology & CHC,
622,Spanish,
623,Sports Management,
624,Psychology,
625,Communication Disorders,2
626,hphy,2
627,Psychology,
628,Human Physiology,
629,Public Relations,
630,human physiology,
631,Biology,
632,general science,
633,Human Physiology,2
634,General Social Science,
635,Psychology,
636,NA,
637,International studies,
638,Psychology,
639,General science,2
640,art and design,
641,pre business,
642,Environmental science,
643,psy,
644,Business Administration,
645,psychology,
646,psychology,
647,Psychology,
648,Marine Biology,
649,Psychology,
650,International Studies/Global Studies,
651,"I'm a sociology major, but it is hard for me to answer these questions since this was my first term at UO and it was all online so I just answered neutrally.",
652,prebusiness,
653,Business,
654,Linguistics,
655,psychology,
656,undeclared,
657,Math,
658,human physiology,2
659,Popular Music Studies,
660,Communication Disorders,2
661,Communication Disorders and Sciences,2
662,human physiology,2
663,human physiology,2
664,Cinema Studies.,
665,Current major general science. It was human physiology before.,2
666,human physiology,2
667,Political Science,
668,FHS,
669,accounting,
670,Human Physiology,2
671,Math,
672,Public Relations,
673,Psychology,
674,Psychology,
675,Communication Disorders and Sciences,2
676,I am applying to the Business School,
677,Human Physiology,2
678,Psychology,
679,Psychology,
680,Environmental Science,
681,undeclared,
682,Economics,
683,Computer science,2
684,Biochemistry,2
685,double majoring in psychology and business,
686,Psychology,
687,human physiology,2
688,general science and psychology,
689,Journalism,
690,Politcal Science,
691,International Studies and Psychology,
692,Psychology,
693,Biology,2
694,Political Science,
695,Psychology,
696,Human Physiology,2
697,Psychology,
698,Business Administration,
699,Communication Disorders and Science,2
700,Psych,
701,psychology,
702,Advertising,
703,psychology,
704,Public Relations,
705,Psychology and family and health services,
706,psychology,
707,Psychology,
708,General Science,2
709,Product Design,
710,Human Physiology,2
711,Biology,2
712,Human Physiology,2
713,Music Education,
714,"Communication Disorders and Sciences, Psychology",2
715,Biology,2
716,Ethnic Studies,
717,ARCH,
718,Accounting,
719,CDS,2
720,psychology,
721,undeclared,
722,Psychology,
723,Human Physiology maybe?,
724,Journalism,
725,Human Physiology,2
726,Family and human services,
727,Psychology,
728,Art,
729,PSYCHOLOGY,
730,Psychology,
731,Business and economics,
732,Journalism,
733,psych,
734,psychology,
735,Human Physiology,2
736,Psychology,
737,Biology,
738,Psychology,
739,Human Physiology,2
740,psychology,
741,human physiology,2
742,Economics,
743,Biology,2
744,Psychology,
745,Psychology,
746,Human Physiology,2
747,general science,2
748,Anthropology,
749,education foundation,
750,Psychology,
751,General Science,2
752,Business,
753,Family and Human Services,
754,psych,
755,Psychology,
756,CS,2
757,Philosophy and Psychology,
758,Psychology,
759,Psychology,
760,Psychology,
761,General Social science,2
762,Advertising,
763,Biochemistry,2
764,Education,
765,Biology and human physiology,2
766,Business Administration,
767,HPHY/PSY,2
768,Computer Science,2
769,psychology,
770,Communication Disorders and Sciences,2
771,psychology,
772,Biology,2
773,General Music,
774,Advertising,
775,Psychology,
776,Human Physiology,2
777,General Science,2
778,psychology,
779,Sports Business,
780,"Economics, Mathematics, and Psychology",
781,Psychology,
782,economics,
783,Jazz Studies,
784,Family and Human Services,
785,Cinema Studies and Psychology (double major),
786,Psychology and Family & Human Services,
787,Human Physiology,2
788,Psychology and Sociology,
789,Music Technology,
790,Biology,2
791,psychology,
792,psychology or humanities,
793,Psychology,
794,"Psychology, Philosophy",
795,Business,
796,Psychology,
797,Human Physiology and Psychology,
798,Psychology,
799,I have two majors: one in CIS and one in Spanish: Literature and Culture.,2
800,Psychology,
801,Chemistry,2
802,Environmental Studies,
803,Public policy management,
804,psychology,
805,CIS,2
806,N/A,
807,Business with concentration in Marketing,
808,hphy,2
809,Human Physiology,2
810,Human Physiology,2
811,Women's gender and sexuality studies,
812,Psychology,
813,FHS,
814,Human Physiology,2
815,Human Physiology,2
816,Human Physiology,2
817,Education,
818,biology,2
819,business,
820,Communication Disorders and Sciences,2
821,psychology,
822,Psychology,
823,Global Studies,
824,"Linguistics, cultural anthropology, pre dental",
825,Human Physiology,2
826,psychology,
827,Journalism,
828,Linguistics,
829,Undeclared,
830,Psychology,
831,Sports medicine,
832,psychology,
833,psychology,
834,economics,
835,Music Education,
836,Communication Disorder Sciences,2
837,Elementary Education,
838,Psychology,
839,Business Administration,
840,Family Human Services program,
841,Psychology,
842,biochemistry,2
843,advertising,
844,Human Phys,2
845,Psychology,
846,Linguistics,
847,English,
848,HPHY,2
849,Latin American studies and Ethnic studies,
850,Human Physiology,
851,"Undeclared, but business, math or CIS",2
852,Journalism and Family and Human Service,
853,Human Physiology,2
854,human physiology,2
855,Economics,
856,Business,
857,Linguistics,
858,Psychology,
859,Music Education,
860,undeclared,
861,Business,
862,Law,
863,Business Administration,
864,Human Physiology,2
865,Neuroscience,2
866,psychology,
867,Psychology,
868,Advertising,
869,Family and Human Services,
870,Interior architecture or theatre arts,
871,Media Studies,
872,undeclared,
873,Psychology,
874,communication disorders and sciences,2
875,Human Physiology,2
876,psychology,
877,Human Physiology,2
878,Journalism,
879,Human Physiology,2
880,no idea at all maybe biology,2
881,Psychology,
882,I want to go into Law,
883,Advertising,
884,Psychology,
885,General Science,2
886,Psychology,
887,Mathematics and Computer Science,2
888,Biology,2
889,Music Education,
890,Psychology,
891,Psychology,
892,psychology,
893,undecided,
894,business,
895,Psychology,
896,Psychology,
897,Journalism,
898,HPHY,2
899,Psychology,
900,Accounting,
901,Business,
902,Psychology,
903,Physics,2
904,Econ,
905,Psychology,
906,Public Relations,
907,general social science,
908,Music Education,
909,Psychology,
910,Human Physiology,2
911,Human Physiology,2
912,Human Physiology,2
913,Accounting,
914,Humanities,
915,Human Physiology,
916,Computer Information Science,2
917,general science,
918,psychology,
919,General Social Science,
920,Biology,2
921,human physiology,2
922,psychology,
923,Human Physiology,2
924,GSS,
925,HPHY,2
926,Human Physiology,2
927,Psychology,
928,Psychology,
929,Biology,2
930,"Math, Computer Science",2
931,Political Science,
932,human physiology or linguistics,
933,earth science,2
934,gss,
935,double majoring in Economics and psychology,
936,Psychology,
937,Business,
938,Psychology,
939,Business Administration,
940,advratisng,
941,Business,
942,Psychology and Family & Human Services,
943,HPHY,2
944,Psychology,
945,CDS,
946,Computer Science,2
947,Psychology,
948,psychology,
949,Music Education,
950,Human Physiology,2
951,psychology,
952,Psychology,
953,Biology,2
954,Psychology,
955,Psychology,
956,Business,
957,Psychology,
958,General Science,
959,Human physiology and psychology,2
960,Psychology,
961,Psychology,
962,Finance and Economics,
963,Psychology,
964,CDS,2
965,Journalism,
966,Psychology,
967,Latin American Studies & Spanish,
968,Sociology,
969,psychology,
970,Advertising,
971,human physiology,
972,General Science,2
973,business,
974,Biology,
975,Psychology,
976,Business,
977,Psychology,
978,Psychology,
979,Psychology,
980,Advertising,
981,hphy,2
982,psychology,
983,Human Phys,2
984,Business Administration,
985,Psychology,
986,Human Physiology,2
987,CDS and psychology,2
988,Neuropsychology,2
989,"undecided, but intend on psychology",
990,Education,
991,Psychology,
992,Psychology,
993,journalism,
994,Communication Disorders and Sciences,2
995,psychology,
996,accounting,
997,journalism,
998,General Social Science,
999,Education,
1000,Linguistics,
1001,Accounting,
1002,Pyschology,
1003,Human Physiology,2
1004,Psychology,
1005,Human Physiology,2
1006,math,2
1007,psychology,
1008,FHS,
1009,Psych,
1010,HPHY,2
1011,Psychology,
1012,public relations,
1013,psychology,
1014,Computer Science,2
1015,Psychology,
1016,psych,
1017,General Science,2
1018,Psychology,
1019,Psychology,
1020,"General Social Sciences: Crime, Law, and Society",
1021,Psychology,
1022,business,
1023,Psychology,
1024,PR,
1025,Business,
1026,Business,
1027,FHS,
1028,Biology,2
1029,Psychology,
1030,Violin Performance and Communication Disorders and Sciences,
1031,Psychology,
1032,psychology,
1033,Human Physiology,2
1034,Business,
1035,Neuroscience,2
1036,education,
1037,Business,
1038,Psychology,
1039,human physiology,2
1040,Business Administration,
1041,Accounting,
1042,Psychology,
1043,Biology,2
1044,Computer Science and Spanish,2
1045,Psychology,
1046,biology,2
1047,psychology,
1048,psych,
1049,Humanities,
1050,Psychology/pre-med,2
1051,Computer Science and Music,2
1052,Psychology,
1053,psychology,
1054,Music Education.,
1055,Human Physiology,2
1056,Political Science,
1057,Communication disorders and Sciences,2
1058,psych,
1059,Business,
1060,general science,2
1061,Architecture,
1062,Psychology,
1063,Communication Disorders and Sciences,2
1064,Advertising,
1065,History,
1066,Psychology,
1067,Music Education,
1068,Communication Disorders and Sciences,2
1069,Business,
1070,Sociology,
1071,Biology,2
1072,Biology,2
1073,Business,
1074,Environmental Science,
1075,Journalism,
1076,Psychology,
1077,Psychology,
1078,Music Education,
1079,psychology,
1080,psychology,
1081,Psychology,
1082,Biology/Biomedical Sciences,2
1083,Sociology,
1084,Environmental Studies (undeclared),
1085,Psychology,
1086,Linguistics,
1087,Psychology,
1088,History/SST,
1089,Political Science,
1090,My intended major is journalism,
1091,Journalism,
1092,Undeclared but something in neurology,2
1093,human physiology,2
1094,Psychology,
1095,psychology,
1096,human physiology,2
1097,History,
1098,Product design,
1099,Music,
1100,Psychology,
1101,Psychology,
1102,General Music/Japanese - Cultural Intensive,
1103,psychology,
1104,human phsyiology,2
1105,Education Foundations,
1106,Human Physiology and Psychology,2
1107,Phsychology,
1108,Marine Biology,2
1109,Biology,2
1110,psychology,
1111,Human physiology,2
1112,psychology,
1113,Human Physiology,2
1114,Economics,
1115,Journalism,
1116,Psychology,
1117,Psychology,
1118,Maybe Business,
1119,advertising,
1120,general social science,
1121,Computer Science,2
1122,Undeclared and not sure at all,
1123,pre business,
1124,family and human services,
1125,public relations,
